file_id	file_name	file_size	md5sum	project_id	case_submitter_id	sample_submitter_id	sample_type	tissue_type	tumor_descriptor	workflow_type	data_type
ff710149-0fc6-464a-93cb-e3b9bdcf3525	dfb9c45f-cb52-4e36-b663-1a9e8c7c0b47.rna_seq.augmented_star_gene_counts.tsv	4204474	0322f762090e53965c964b763ce9cd7c	TCGA-COAD	TCGA-AA-3561	TCGA-AA-3561-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
9e159c7f-39ac-4051-83db-983d3aeba5a9	d9780581-dfca-4e83-9bb4-4836f22d910e.rna_seq.augmented_star_gene_counts.tsv	4228989	5a91fb7b742ff86552a121282ff81cbc	TCGA-COAD	TCGA-AZ-4616	TCGA-AZ-4616-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
a11f48e9-775c-420a-99d1-04b1a5bc1419	ddc4c764-f1da-46db-89d9-8ad7e253a09f.rna_seq.augmented_star_gene_counts.tsv	4236358	d6a1943d6cd3921d688b18eea4dfe213	TCGA-COAD	TCGA-AA-3712	TCGA-AA-3712-11A	Solid Tissue Normal	Normal	Not Applicable	STAR - Counts	Gene Expression Quantification
2063302d-2b9d-4550-8426-fb64f5ea89d1	eb67b977-b299-4bbc-b3f6-25d516473405.rna_seq.augmented_star_gene_counts.tsv	4239347	e8822385915d04e3fb578d51efd5894b	TCGA-COAD	TCGA-AY-A71X	TCGA-AY-A71X-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
a44fa392-54c2-48b0-b342-e3e9e8340a8f	db087000-74fa-4044-812f-01842b99f448.rna_seq.augmented_star_gene_counts.tsv	4201072	67bff0bcb7e69bcfc6d8afa49cf32b0e	TCGA-COAD	TCGA-AA-3861	TCGA-AA-3861-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
a06c89f2-be32-4102-b126-45dcfd364dae	c4464d1a-4513-44af-a555-68cd0ca584b1.rna_seq.augmented_star_gene_counts.tsv	4235514	696c65d850518927d5420209ae6018d6	TCGA-COAD	TCGA-AZ-6603	TCGA-AZ-6603-11A	Solid Tissue Normal	Normal	Not Applicable	STAR - Counts	Gene Expression Quantification
31951036-bbb7-4f77-bce9-358a0ecd65ef	de2e0c63-0c2d-43af-a006-7d84557a1c3c.rna_seq.augmented_star_gene_counts.tsv	4243733	7650ca1353b8acfc8a0b8c19fa3db710	TCGA-COAD	TCGA-AZ-6603	TCGA-AZ-6603-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
c5f88d68-c755-403c-97a1-d0863d06a56b	06114a88-396c-4815-8949-910e46345e47.rna_seq.augmented_star_gene_counts.tsv	4190933	1a62d41ae84243571005da01af010d25	TCGA-COAD	TCGA-AA-A01C	TCGA-AA-A01C-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
57824d48-ad20-4ed1-a5d4-e458e9a75b46	2eaa09cd-8e3e-4de9-ab96-7a290d780a01.rna_seq.augmented_star_gene_counts.tsv	4234693	72b550cc712b9c61fb79c0c9bd27b467	TCGA-COAD	TCGA-G4-6627	TCGA-G4-6627-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
290b9234-0d19-4a74-971e-73dad79f7e9a	7bcfb173-3654-42a1-8664-d0d074e4618c.rna_seq.augmented_star_gene_counts.tsv	4226009	4f509487189cd6b532dab3c27b46e43a	TCGA-COAD	TCGA-AZ-6599	TCGA-AZ-6599-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
e2a9c773-efc2-46a3-a043-bb2985dc83e2	89fa1644-e0e3-4d75-9250-b5eb4fb67593.rna_seq.augmented_star_gene_counts.tsv	4243360	73dfcd71758a98c970b305b6903732af	TCGA-COAD	TCGA-F4-6809	TCGA-F4-6809-01A	Primary Tumor	Tumor	Primary	STAR - Counts	Gene Expression Quantification
