node,loss,alpha,beta,n_steps
FAM50B,0.0,0.0,0.3,5
FAM50A,0.0,0.0,0.3,5
ZDBF2,0.0,0.0,0.3,5
FAM50B,0.007026106087498002,0.05,0.3,5
FAM50A,0.05,0.05,0.3,5
ZDBF2,0.0021078318262494006,0.05,0.3,5
FAM50B,0.014052212174996003,0.1,0.3,5
FAM50A,0.1,0.1,0.3,5
ZDBF2,0.004215663652498801,0.1,0.3,5
FAM50B,0.021078318262494008,0.15000000000000002,0.3,5
FAM50A,0.15000000000000002,0.15000000000000002,0.3,5
ZDBF2,0.006323495478748202,0.15000000000000002,0.3,5
FAM50B,0.028104424349992007,0.2,0.3,5
FAM50A,0.2,0.2,0.3,5
ZDBF2,0.008431327304997602,0.2,0.3,5
FAM50B,0.03513053043749,0.25,0.3,5
FAM50A,0.25,0.25,0.3,5
ZDBF2,0.010539159131247,0.25,0.3,5
FAM50B,0.042156636524988016,0.30000000000000004,0.3,5
FAM50A,0.30000000000000004,0.30000000000000004,0.3,5
ZDBF2,0.012646990957496404,0.30000000000000004,0.3,5
FAM50B,0.049182742612486015,0.35000000000000003,0.3,5
FAM50A,0.35000000000000003,0.35000000000000003,0.3,5
ZDBF2,0.014754822783745803,0.35000000000000003,0.3,5
FAM50B,0.056208848699984014,0.4,0.3,5
FAM50A,0.4,0.4,0.3,5
ZDBF2,0.016862654609995205,0.4,0.3,5
FAM50B,0.063234954787482,0.45,0.3,5
FAM50A,0.45,0.45,0.3,5
ZDBF2,0.0189704864362446,0.45,0.3,5
FAM50B,0.07026106087498,0.5,0.3,5
FAM50A,0.5,0.5,0.3,5
ZDBF2,0.021078318262494,0.5,0.3,5
FAM50B,0.07728716696247802,0.55,0.3,5
FAM50A,0.55,0.55,0.3,5
ZDBF2,0.023186150088743404,0.55,0.3,5
FAM50B,0.08431327304997603,0.6000000000000001,0.3,5
FAM50A,0.6000000000000001,0.6000000000000001,0.3,5
ZDBF2,0.025293981914992807,0.6000000000000001,0.3,5
FAM50B,0.09133937913747402,0.65,0.3,5
FAM50A,0.65,0.65,0.3,5
ZDBF2,0.027401813741242204,0.65,0.3,5
FAM50B,0.09836548522497203,0.7000000000000001,0.3,5
FAM50A,0.7000000000000001,0.7000000000000001,0.3,5
ZDBF2,0.029509645567491607,0.7000000000000001,0.3,5
FAM50B,0.10539159131247001,0.75,0.3,5
FAM50A,0.75,0.75,0.3,5
ZDBF2,0.031617477393741,0.75,0.3,5
FAM50B,0.11241769739996803,0.8,0.3,5
FAM50A,0.8,0.8,0.3,5
ZDBF2,0.03372530921999041,0.8,0.3,5
FAM50B,0.11944380348746603,0.8500000000000001,0.3,5
FAM50A,0.8500000000000001,0.8500000000000001,0.3,5
ZDBF2,0.03583314104623981,0.8500000000000001,0.3,5
FAM50B,0.126469909574964,0.9,0.3,5
FAM50A,0.9,0.9,0.3,5
ZDBF2,0.0379409728724892,0.9,0.3,5
FAM50B,0.13349601566246203,0.9500000000000001,0.3,5
FAM50A,0.9500000000000001,0.9500000000000001,0.3,5
ZDBF2,0.04004880469873861,0.9500000000000001,0.3,5
FAM50B,0.14052212174996,1.0,0.3,5
FAM50A,1.0,1.0,0.3,5
ZDBF2,0.042156636524988,1.0,0.3,5
