feature,n_folds,mean_abs_coef,mean_coef,source,gene_symbol,reactome_mappable_candidate
expr_FAM50B (26240),5,0.1925973377329331,0.1925973377329331,expression,FAM50B,True
expr_TGM3 (7053),5,0.0553266870765757,0.0553266870765757,expression,TGM3,True
target_FAM50A,5,,,target,FAM50A,True
mut_PWWP2B,4,0.016443011645491,0.016443011645491,mutation,PWWP2B,True
mut_CARS1,3,0.0787701666921553,0.0787701666921553,mutation,CARS1,True
expr_ENTPD1 (953),3,0.0536459209742001,-0.0536459209742001,expression,ENTPD1,True
expr_RPUSD4 (84881),3,0.0277076838627764,-0.0277076838627764,expression,RPUSD4,True
mut_SLC2A5,3,0.0172362115226943,-0.0172362115226943,mutation,SLC2A5,True
expr_CTSW (1521),3,0.0130243773231196,-0.0130243773231196,expression,CTSW,True
expr_CTRL (1506),2,0.0684445756438918,-0.0684445756438918,expression,CTRL,True
mut_GFOD1,2,0.0449564823853317,-0.0449564823853317,mutation,GFOD1,True
mut_ZNF831,2,0.0413615343844139,-0.0413615343844139,mutation,ZNF831,True
mut_SP5,2,0.0333263659482423,-0.0333263659482423,mutation,SP5,True
expr_RCE1 (9986),2,0.031237964540763,-0.031237964540763,expression,RCE1,True
expr_FOXC1 (2296),2,0.0283071447160912,-0.0283071447160912,expression,FOXC1,True
expr_TMEM176B (28959),2,0.0278324893257381,0.0278324893257381,expression,TMEM176B,True
mut_SOX12,2,0.0256234320138645,0.0256234320138645,mutation,SOX12,True
expr_TAF1D (79101),2,0.019377698411662,-0.019377698411662,expression,TAF1D,True
expr_NUAK2 (81788),2,0.0189824368839346,0.0189824368839346,expression,NUAK2,True
mut_ZDBF2,2,0.0178538845123867,-0.0178538845123867,mutation,ZDBF2,True
expr_SLC4A2 (6522),2,0.0174650773735802,-0.0174650773735802,expression,SLC4A2,True
expr_PTPN21 (11099),2,0.0138574136433794,-0.0138574136433794,expression,PTPN21,True
mut_LTBP4,2,0.0062469060446687,-0.0062469060446687,mutation,LTBP4,True
expr_PIGC (5279),2,0.0050068487461977,0.0050068487461977,expression,PIGC,True
mut_CLN3,2,0.00444238147626,0.00444238147626,mutation,CLN3,True
cnv_EIF1P3 (730144),2,0.0035904256564348,0.0035904256564348,cnv,EIF1P3,True
cnv_GLUL (2752),2,0.0034818611768136,0.0034818611768136,cnv,GLUL,True
cnv_TEDDM1 (127670),2,0.0034802143973887,0.0034802143973887,cnv,TEDDM1,True
cnv_RNU6-152P (106481223),2,0.0033956094548524,0.0033956094548524,cnv,RNU6-152P,False
mut_SHC4,1,0.0762210273642673,0.0762210273642673,mutation,SHC4,True
mut_HNRNPA3,1,0.0745821424396633,0.0745821424396633,mutation,HNRNPA3,True
expr_TAS2R19 (259294),1,0.0707328546158209,-0.0707328546158209,expression,TAS2R19,True
mut_ITGA10,1,0.0618542275885346,0.0618542275885346,mutation,ITGA10,True
expr_SPANXN3 (139067),1,0.0530138966807377,0.0530138966807377,expression,SPANXN3,True
expr_NKAIN4 (128414),1,0.052965994320899,0.052965994320899,expression,NKAIN4,True
expr_DIS3L2 (129563),1,0.0519173793406456,-0.0519173793406456,expression,DIS3L2,True
expr_MSRB2 (22921),1,0.0510335456160655,0.0510335456160655,expression,MSRB2,True
expr_MTARC2 (54996),1,0.0481699790063098,-0.0481699790063098,expression,MTARC2,True
expr_PRSS12 (8492),1,0.0458120043624726,-0.0458120043624726,expression,PRSS12,True
expr_UTF1 (8433),1,0.0449607306949104,0.0449607306949104,expression,UTF1,True
mut_MED12L,1,0.044030988490199,-0.044030988490199,mutation,MED12L,True
expr_SIPA1L1 (26037),1,0.0438467837254349,-0.0438467837254349,expression,SIPA1L1,True
expr_MAOA (4128),1,0.042296984650518,0.042296984650518,expression,MAOA,True
mut_KBTBD12,1,0.0407746320198151,-0.0407746320198151,mutation,KBTBD12,True
mut_CD93,1,0.0375821307701217,0.0375821307701217,mutation,CD93,True
expr_ANKIB1 (54467),1,0.0375360059361407,-0.0375360059361407,expression,ANKIB1,True
expr_CYREN (78996),1,0.0372122442277835,-0.0372122442277835,expression,CYREN,True
expr_LRG1 (116844),1,0.0365298302474189,0.0365298302474189,expression,LRG1,True
mut_POU3F1,1,0.0356353778538151,-0.0356353778538151,mutation,POU3F1,True
expr_CCDC88B (283234),1,0.0334319642798606,0.0334319642798606,expression,CCDC88B,True
