gene_set,pathway_name,stId,species,entities_found,entities_total,entities_ratio,p_value,fdr,reactions_found,reactions_total,reactions_ratio,token,reactome_browser_url
all,Transcriptional regulation of granulopoiesis,R-HSA-9616222,Homo sapiens,4,70,0.004323923651862376,0.005997423256087098,0.4084904550659927,7,27,0.0016868674247157316,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9616222&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,NFE2L2 regulating MDR associated enzymes,R-HSA-9818032,Homo sapiens,2,12,0.0007412440546049787,0.006861292612230119,0.4084904550659927,2,8,0.0004998125702861427,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9818032&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,EGR2 and SOX10-mediated initiation of Schwann cell myelination,R-HSA-9619665,Homo sapiens,3,40,0.002470813515349929,0.00823599869089131,0.4084904550659927,6,27,0.0016868674247157316,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9619665&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,LGI-ADAM interactions,R-HSA-5682910,Homo sapiens,2,14,0.0008647847303724751,0.009215734351925575,0.4084904550659927,4,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5682910&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,SIRT1 negatively regulates rRNA expression,R-HSA-427359,Homo sapiens,3,44,0.0027178948668849217,0.010644238351423918,0.4084904550659927,4,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-427359&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,RUNX1 regulates transcription of genes involved in differentiation of HSCs,R-HSA-8939236,Homo sapiens,4,92,0.005682871085304837,0.015086918681622152,0.4084904550659927,3,15,0.0009371485692865175,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8939236&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Formation of the anterior neural plate,R-HSA-9823739,Homo sapiens,2,19,0.0011736364197912164,0.016420961119866573,0.4084904550659927,13,15,0.0009371485692865175,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9823739&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,RNA Polymerase I Promoter Escape,R-HSA-73772,Homo sapiens,3,60,0.0037062202730248936,0.024007703369134714,0.4084904550659927,2,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73772&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,B-WICH complex positively regulates rRNA expression,R-HSA-5250924,Homo sapiens,3,61,0.0037679906109086415,0.025045032452373994,0.4084904550659927,3,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5250924&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Inhibition of Host mRNA Processing and RNA Silencing,R-HSA-168315,Homo sapiens,1,3,0.00018531101365124467,0.030116337909401825,0.4084904550659927,1,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-168315&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
