gene_set,pathway_name,stId,species,entities_found,entities_total,entities_ratio,p_value,fdr,reactions_found,reactions_total,reactions_ratio,token,reactome_browser_url
expression,Transcriptional regulation of granulopoiesis,R-HSA-9616222,Homo sapiens,4,70,0.004323923651862376,0.0007819756499436448,0.24794485247861053,7,27,0.0016868674247157316,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9616222&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,RUNX1 regulates transcription of genes involved in differentiation of HSCs,R-HSA-8939236,Homo sapiens,4,92,0.005682871085304837,0.002118124362938123,0.24794485247861053,3,15,0.0009371485692865175,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8939236&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,SIRT1 negatively regulates rRNA expression,R-HSA-427359,Homo sapiens,3,44,0.0027178948668849217,0.002237713103072192,0.24794485247861053,4,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-427359&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,RNA Polymerase I Promoter Escape,R-HSA-73772,Homo sapiens,3,60,0.0037062202730248936,0.005308497353836428,0.24794485247861053,2,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73772&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,B-WICH complex positively regulates rRNA expression,R-HSA-5250924,Homo sapiens,3,61,0.0037679906109086415,0.005555244972411666,0.24794485247861053,3,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5250924&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,Negative Regulation of CDH1 Gene Transcription,R-HSA-9764725,Homo sapiens,3,68,0.004200382976094879,0.007475227008248431,0.24794485247861053,5,42,0.002624015994002249,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9764725&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,Regulation of CDH1 Gene Transcription,R-HSA-9764560,Homo sapiens,3,78,0.004818086354932361,0.01082425773443385,0.24794485247861053,5,56,0.0034986879920029987,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9764560&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,Positive epigenetic regulation of rRNA expression,R-HSA-5250913,Homo sapiens,3,79,0.004879856692816109,0.011199531120794859,0.24794485247861053,5,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5250913&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,NoRC negatively regulates rRNA expression,R-HSA-427413,Homo sapiens,3,79,0.004879856692816109,0.011199531120794859,0.24794485247861053,4,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-427413&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,RNA Polymerase I Promoter Clearance,R-HSA-73854,Homo sapiens,3,84,0.005188708382234851,0.013188177174438875,0.24794485247861053,7,10,0.0006247657128576784,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73854&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,Replacement of protamines by nucleosomes in the male pronucleus,R-HSA-9821993,Homo sapiens,2,30,0.0018531101365124468,0.013407326822608145,0.24794485247861053,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9821993&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
expression,RNA Polymerase I Transcription,R-HSA-73864,Homo sapiens,3,86,0.0053122490580023475,0.014036438601412016,0.24794485247861053,10,14,0.0008746719980007497,MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73864&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTBfMzAzMg%3D%3D
