gene_set,pathway_name,stId,species,entities_found,entities_total,entities_ratio,p_value,fdr,reactions_found,reactions_total,reactions_ratio,token,reactome_browser_url
high_confidence,Intestinal hexose absorption,R-HSA-8981373,Homo sapiens,1,8,0.0004941627030699858,0.0044386833726712815,0.10383242224969058,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8981373&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Intestinal absorption,R-HSA-8963676,Homo sapiens,1,11,0.0006794737167212304,0.006098669131521128,0.10383242224969058,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8963676&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,rRNA modification in the mitochondrion,R-HSA-6793080,Homo sapiens,1,17,0.0010500957440237198,0.009411261571689256,0.10383242224969058,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-6793080&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Mitochondrial mRNA modification,R-HSA-9937008,Homo sapiens,1,29,0.0017913397986286984,0.016007019405768208,0.10383242224969058,1,8,0.0004998125702861427,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9937008&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Phosphate bond hydrolysis by NTPDase proteins,R-HSA-8850843,Homo sapiens,1,34,0.0021001914880474397,0.018743710128724445,0.10383242224969058,2,12,0.000749718855429214,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8850843&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,rRNA processing in the mitochondrion,R-HSA-8868766,Homo sapiens,1,47,0.0029032058805361664,0.025827469719497897,0.10383242224969058,1,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8868766&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Cytosolic tRNA aminoacylation,R-HSA-379716,Homo sapiens,1,50,0.003088516894187411,0.027455713638329993,0.10383242224969058,1,21,0.0013120079970011245,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-379716&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Purinergic signaling in leishmaniasis infection,R-HSA-9660826,Homo sapiens,1,54,0.003335598245722404,0.029622942359065818,0.10383242224969058,1,23,0.0014369611395726603,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9660826&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Cell recruitment (pro-inflammatory response),R-HSA-9664424,Homo sapiens,1,54,0.003335598245722404,0.029622942359065818,0.10383242224969058,1,23,0.0014369611395726603,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9664424&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,tRNA Aminoacylation,R-HSA-379724,Homo sapiens,1,68,0.004200382976094879,0.037174477004807804,0.10383242224969058,1,42,0.002624015994002249,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-379724&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,Digestion and absorption,R-HSA-8963743,Homo sapiens,1,72,0.004447464327629872,0.039322441596353674,0.10383242224969058,1,30,0.001874297138573035,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8963743&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
high_confidence,NuRD complex assembly,R-HSA-9937850,Homo sapiens,1,74,0.004571005003397369,0.04039482573755182,0.10383242224969058,1,21,0.0013120079970011245,MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9937850&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NTFfMzAzMw%3D%3D
