gene_set,pathway_name,stId,species,entities_found,entities_total,entities_ratio,p_value,fdr,reactions_found,reactions_total,reactions_ratio,token,reactome_browser_url
stable,Developmental Lineage of Pancreatic Acinar Cells,R-HSA-9925561,Homo sapiens,2,87,0.0053740193958860955,0.010648453183991768,0.2138318737532081,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9925561&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Intestinal hexose absorption,R-HSA-8981373,Homo sapiens,1,8,0.0004941627030699858,0.014232014023617623,0.2138318737532081,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8981373&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Neurotransmitter uptake and metabolism In glial cells,R-HSA-112313,Homo sapiens,1,11,0.0006794737167212304,0.019518435088558328,0.2138318737532081,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-112313&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Astrocytic Glutamate-Glutamine Uptake And Metabolism,R-HSA-210455,Homo sapiens,1,11,0.0006794737167212304,0.019518435088558328,0.2138318737532081,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-210455&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Intestinal absorption,R-HSA-8963676,Homo sapiens,1,11,0.0006794737167212304,0.019518435088558328,0.2138318737532081,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8963676&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Formation of intermediate mesoderm,R-HSA-9761174,Homo sapiens,1,13,0.000803014392488727,0.023027497783126294,0.2138318737532081,2,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9761174&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Bicarbonate transporters,R-HSA-425381,Homo sapiens,1,14,0.0008647847303724751,0.024777478943790898,0.2138318737532081,1,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-425381&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,rRNA modification in the mitochondrion,R-HSA-6793080,Homo sapiens,1,17,0.0010500957440237198,0.030009282331569964,0.2138318737532081,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-6793080&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Developmental Cell Lineages of the Exocrine Pancreas,R-HSA-9820448,Homo sapiens,2,170,0.010500957440237197,0.03711622965065253,0.2138318737532081,1,10,0.0006247657128576784,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9820448&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Mitochondrial mRNA modification,R-HSA-9937008,Homo sapiens,1,29,0.0017913397986286984,0.05066680309324545,0.2138318737532081,1,8,0.0004998125702861427,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9937008&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Formation of the ureteric bud,R-HSA-9830674,Homo sapiens,1,29,0.0017913397986286984,0.05066680309324545,0.2138318737532081,1,14,0.0008746719980007497,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9830674&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,RNA Polymerase I Transcription Termination,R-HSA-73863,Homo sapiens,1,33,0.0020384211501636913,0.057457761413600705,0.2138318737532081,3,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73863&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
stable,Phosphate bond hydrolysis by NTPDase proteins,R-HSA-8850843,Homo sapiens,1,34,0.0021001914880474397,0.0591481582963882,0.2138318737532081,2,12,0.000749718855429214,MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8850843&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDlfMzAzMQ%3D%3D
