target_column,gene_symbol,y_mean,y_std,y_min,y_max,n_missing,n_dep_lt_m05,n_strong_lt_m1,n_neutral_gt_m02,frac_dep_lt_m05,frac_strong_lt_m1,selection_score
PGK1 (5230),PGK1,-0.9601811838318012,0.4709073239836293,-1.936391871279404,0.2726394904846108,0,53,29,5,0.8983050847457628,0.4915254237288136,11.570907323983631
TOP1 (7150),TOP1,-0.7594905937563675,0.3366084597073684,-1.5086409587590208,0.3451415317950277,0,52,10,5,0.8813559322033898,0.1694915254237288,11.23660845970737
PPP2CA (5515),PPP2CA,-1.0765956148214875,0.7677413608062063,-4.6586549350094,0.1321785531381596,0,47,31,5,0.7966101694915254,0.5254237288135594,10.667741360806207
CTNNB1 (1499),CTNNB1,-1.185587932846943,0.7922471727910271,-3.0051893653580874,0.783503537463245,0,46,35,6,0.7796610169491526,0.5932203389830508,10.592247172791028
ALG13 (79868),ALG13,-0.8201592230819504,0.49043740420218257,-1.9369155546862848,0.3467873598758827,0,47,20,7,0.7966101694915254,0.3389830508474576,10.590437404202182
NCAPD3 (23310),NCAPD3,-0.7706665711054317,0.3781809248255242,-1.6599440270156265,0.1174090660494838,0,48,14,6,0.8135593220338984,0.23728813559322035,10.578180924825526
RAC1 (5879),RAC1,-0.7616258542577098,0.4145256523561114,-2.1018504503447826,0.243610588210022,0,46,16,8,0.7796610169491526,0.2711864406779661,10.414525652356113
MED12 (9968),MED12,-0.7736227406526746,0.40736216022075455,-1.5598094338242403,0.2478541457344202,0,47,16,5,0.7966101694915254,0.2711864406779661,10.307362160220755
TAMM41 (132001),TAMM41,-0.8343899809356388,0.5057950296405748,-1.84741299532854,0.3925019447863112,0,45,29,8,0.7627118644067796,0.4915254237288136,10.305795029640576
MED9 (55090),MED9,-0.7387238162015654,0.365747881907713,-1.7934332561527344,-0.0572460130462878,0,47,13,5,0.7966101694915254,0.22033898305084745,10.265747881907714
FAM50A (9130),FAM50A,-1.0029343829332968,0.6370226014595953,-2.424708567245299,0.5174642948571961,0,44,33,8,0.7457627118644068,0.559322033898305,10.237022601459596
DNAJC11 (55735),DNAJC11,-0.781749277388927,0.48148233279150476,-2.965052092631963,0.0920113707763456,0,46,17,5,0.7796610169491526,0.288135593220339,10.181482332791505
ATP6V1C1 (528),ATP6V1C1,-0.7397275034597737,0.3866085505469801,-1.9355843999598448,0.3142701887733868,0,46,13,5,0.7796610169491526,0.22033898305084745,10.08660855054698
NCAPH2 (29781),NCAPH2,-0.755794184334096,0.48636165853516355,-1.7966786101009051,0.1991144988492119,0,43,15,10,0.7288135593220338,0.2542372881355932,10.086361658535163
TCF7L2 (6934),TCF7L2,-0.7115619838432201,0.4753771244947502,-1.647270560234292,0.1391270781926281,0,42,18,12,0.711864406779661,0.3050847457627119,10.07537712449475
SOD2 (6648),SOD2,-0.9388806291658541,0.7654110877703044,-2.696961433249632,0.6555409887785716,0,42,30,9,0.711864406779661,0.5084745762711864,10.065411087770306
GET3 (439),GET3,-0.8058875891127966,0.40795785937822654,-2.060833087129316,-0.1226322885448656,0,45,19,5,0.7627118644067796,0.3220338983050847,9.907957859378227
MBTPS2 (51360),MBTPS2,-0.7659841708199433,0.39474897507037277,-2.068905576808194,0.1405462959956092,0,45,17,5,0.7627118644067796,0.288135593220339,9.894748975070373
GRB2 (2885),GRB2,-0.9341285032840526,0.7944292627880165,-3.012048970563054,0.1397812434869438,0,40,25,11,0.6779661016949152,0.423728813559322,9.894429262788016
PSMG2 (56984),PSMG2,-0.7451823824142838,0.36710416315013944,-1.5369637292091536,0.0045847298892029,0,45,13,5,0.7627118644067796,0.22033898305084745,9.86710416315014
GTF2F2 (2963),GTF2F2,-0.6477445007560946,0.3187448316931735,-1.5611193273886426,0.2583100746952165,0,45,8,5,0.7627118644067796,0.13559322033898305,9.818744831693174
WDR7 (23335),WDR7,-0.7865469847961112,0.45732991990112243,-1.7082214087846852,-0.0041151157868287,0,43,22,7,0.7288135593220338,0.3728813559322034,9.757329919901121
HNRNPH1 (3187),HNRNPH1,-0.8201122481729196,0.5266624773081346,-2.2678148079663223,0.246318581570063,0,43,23,6,0.7288135593220338,0.3898305084745763,9.726662477308134
