rank,gene_symbol,target_column,n_samples,y_mean,y_std,y_min,y_max,MAE,RMSE,baseline_RMSE,R2
11,FAM50A,FAM50A (9130),59,-1.0029343829332968,0.6370226014595953,-2.424708567245299,0.5174642948571961,0.40347917603915245,0.48768263539783985,0.6316010339173213,0.4038041894822615
44,ADSS2,ADSS2 (159),59,-0.6876958780043108,0.3960890565831048,-1.6041283055948872,0.1168365087510776,0.29141820224991555,0.3765571752131908,0.39271802458502403,0.08060913206201192
42,TMED10,TMED10 (10972),59,-0.5979759650517948,0.3818965483565132,-1.8024761941195129,-0.046206671697499,0.2820785434128583,0.36766879147611936,0.3786463058591008,0.057142441673527
36,UQCRC2,UQCRC2 (7385),59,-0.7032568536364395,0.3485265195186144,-1.4838919062826212,-3.978597897591474e-05,0.2790271252840478,0.3371771761498813,0.3455602824313991,0.04793040104174684
23,HNRNPH1,HNRNPH1 (3187),59,-0.8201122481729196,0.5266624773081348,-2.2678148079663223,0.246318581570063,0.38763408781539,0.5115526480769842,0.5221801619457519,0.04029018336559409
22,WDR7,WDR7 (23335),59,-0.7865469847961112,0.45732991990112243,-1.7082214087846852,-0.0041151157868287,0.3845128375834635,0.4457068149231968,0.45343767958788145,0.033808223271501237
7,RAC1,RAC1 (5879),59,-0.7616258542577099,0.41452565235611144,-2.1018504503447826,0.243610588210022,0.3120837271706024,0.40634426246770505,0.41099771030648163,0.02251644624093463
18,MBTPS2,MBTPS2 (51360),59,-0.7659841708199431,0.39474897507037277,-2.068905576808194,0.1405462959956092,0.29672419949663054,0.3887320967833906,0.39138934822874455,0.013532463500847913
45,UBE2D3,UBE2D3 (7323),59,-0.6603548674917653,0.4820038825515011,-2.294039725950775,0.3083408471885014,0.3542959081894053,0.4757885540030462,0.47790164724791273,0.008823663291890882
35,PRKRA,PRKRA (8575),59,-0.7982642867728476,0.5628688219421419,-2.66826305434417,-0.0080076090327226,0.4511148735938417,0.565927132862014,0.5580783618727387,-0.028325639493803845
41,NHLRC2,NHLRC2 (374354),59,-0.74067052745468,0.49549495515997605,-1.9643340591834024,0.0638841177456804,0.4036814157087049,0.5007011301796236,0.4912779001291174,-0.0387300296250086
13,ATP6V1C1,ATP6V1C1 (528),59,-0.7397275034597736,0.3866085505469802,-1.9355843999598448,0.3142701887733868,0.2915944401333971,0.39151881071472877,0.38331820517397686,-0.04324514824689918
4,CTNNB1,CTNNB1 (1499),59,-1.185587932846943,0.792247172791027,-3.0051893653580874,0.783503537463245,0.611059877724359,0.8069347208445244,0.7855045210426892,-0.05530847873777445
24,CDAN1,CDAN1 (146059),59,-0.7809928215276577,0.6210739369084491,-1.8520707373895289,0.9933441109546426,0.48659360084656317,0.6338727509967411,0.6157881051499212,-0.05959908380006884
14,NCAPH2,NCAPH2 (29781),59,-0.7557941843340958,0.48636165853516355,-1.7966786101009051,0.1991144988492119,0.4035041175133537,0.5002367871474512,0.48222233510193047,-0.07610985639697865
31,TOE1,TOE1 (114034),59,-0.7010666756928879,0.44510327049627696,-1.8217041460308423,0.0844216913115053,0.37335034750715523,0.4582052483285094,0.44131508866606656,-0.07800944514812524
32,NDUFB10,NDUFB10 (4716),59,-0.6047828472766361,0.331890204770273,-1.3213308862172113,0.5293397366279231,0.26538300768840833,0.34419736536505263,0.3290655559153369,-0.094082902869419
16,SOD2,SOD2 (6648),59,-0.9388806291658541,0.7654110877703043,-2.696961433249632,0.6555409887785716,0.6444431258527159,0.7949020138380873,0.7588968323884011,-0.09713915434057507
2,TOP1,TOP1 (7150),59,-0.7594905937563675,0.3366084597073684,-1.5086409587590208,0.3451415317950277,0.26074971387376017,0.34975965986623025,0.3337436547610088,-0.09828082389841497
40,NXT1,NXT1 (29107),59,-0.9481568840210604,0.7134767110969739,-3.024915511309826,-0.1232680667837485,0.5964313585161561,0.7415605456945114,0.7074044584481844,-0.09889866410450754
19,GRB2,GRB2 (2885),59,-0.9341285032840526,0.7944292627880166,-3.012048970563054,0.1397812434869438,0.6820487110814911,0.8307382914018545,0.7876680397232532,-0.11235141081755495
25,RIC1,RIC1 (57589),59,-0.8254614293468,0.5982377218729258,-2.483438187564859,0.3550806794236915,0.49858733576654035,0.6262382829687565,0.5931462444150793,-0.11469398218305638
46,SDHB,SDHB (6390),59,-0.7110834276293062,0.4598808881242703,-1.870025336177176,0.0603589412209797,0.40485838531000923,0.48756560588364367,0.45596693704835256,-0.1434032408993955
30,CFLAR,CFLAR (8837),59,-0.8797163399258549,0.6587497098059814,-2.619337130451151,0.067448944374443,0.5628555522497206,0.70741399070632,0.6531432273405502,-0.17308757178174106
20,PSMG2,PSMG2 (56984),59,-0.7451823824142838,0.36710416315013944,-1.5369637292091536,0.0045847298892029,0.31695664394163703,0.39747592433706114,0.3639798155822381,-0.1925237983930812
39,HAUS8,HAUS8 (93323),59,-0.6523547502607716,0.31156124108793426,-1.4655624824491496,0.1754965433423956,0.2638193600791659,0.3374679999928671,0.308909607836237,-0.1934448729239373
