file_name,file_path,project_id,case_submitter_id,sample_submitter_id,sample_type,tissue_type,FAM50A_tpm,FAM50A_log2_tpm1,FAM50A_fpkm,FAM50B_tpm,FAM50B_log2_tpm1,FAM50B_fpkm,FAM50B_group
d2995480-5ae0-42e1-9a21-25e1435201ee.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\33b4cb11-fada-4d2b-b7ce-61077f94f0e9\d2995480-5ae0-42e1-9a21-25e1435201ee.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-3L-AA1B,TCGA-3L-AA1B-01A,Primary Tumor,Tumor,152.4373,7.261505428702202,49.2239,2.6317,1.8606450323678003,0.8498,FAM50B-low
308a5759-8930-433f-8d11-4c3da6ed0e29.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\3c18b7f5-f53e-4721-a470-ae4410c0592b\308a5759-8930-433f-8d11-4c3da6ed0e29.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-4N-A93T,TCGA-4N-A93T-01A,Primary Tumor,Tumor,121.2741,6.933975035515115,47.4254,1.8328,1.5022287488414667,0.7167,FAM50B-low
1e409782-57e3-42ab-8952-678a4cdb6b2f.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\7284b6cc-f8bd-4e96-8638-90310fa5b8b8\1e409782-57e3-42ab-8952-678a4cdb6b2f.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-4T-AA8H,TCGA-4T-AA8H-01A,Primary Tumor,Tumor,73.9957,6.228735973608964,29.2513,7.7496,3.1292170636641536,3.0635,FAM50B-high
064ec215-7600-4e5d-be51-e757284f3e54.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\f0454026-bc1e-4f6b-ba65-645a1a126298\064ec215-7600-4e5d-be51-e757284f3e54.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-5M-AAT4,TCGA-5M-AAT4-01A,Primary Tumor,Tumor,174.0875,7.451932279075983,55.9213,7.1489,3.026605326625877,2.2964,FAM50B-high
c6c161fd-9f0a-4ad5-96ba-b9ce811348fc.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\65fac9c4-d88b-4bd2-acc6-6707542bb716\c6c161fd-9f0a-4ad5-96ba-b9ce811348fc.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-5M-AAT5,TCGA-5M-AAT5-01A,Primary Tumor,Tumor,64.1359,6.025381006579636,20.9385,7.9454,3.161145994866779,2.594,FAM50B-high
7e314d4a-7158-4d60-a431-013abe183071.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\dde6631e-ef66-4db4-a7cb-be94f4b9c4fd\7e314d4a-7158-4d60-a431-013abe183071.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-5M-AAT6,TCGA-5M-AAT6-01A,Primary Tumor,Tumor,113.6138,6.84063695108542,38.1285,13.8599,3.8933525021508486,4.6513,FAM50B-high
bbebd6d9-66e6-4aa3-bf80-13b7836fe206.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\39cc4b89-1b55-4683-b942-f3c11111a052\bbebd6d9-66e6-4aa3-bf80-13b7836fe206.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-5M-AATA,TCGA-5M-AATA-01A,Primary Tumor,Tumor,143.4699,7.174625131329862,49.3516,4.8666,2.5525246286738006,1.674,FAM50B-high
b3c0ffda-f298-45dd-b494-191788cb7013.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\5e55a9e0-4235-48eb-8f74-0c1cdeeaf4d5\b3c0ffda-f298-45dd-b494-191788cb7013.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-5M-AATE,TCGA-5M-AATE-01A,Primary Tumor,Tumor,123.7331,6.962700548841584,44.564,8.82,3.2957230245399685,3.1766,FAM50B-high
43c9d567-691b-4f12-b083-c6eeeff8e453.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\9afe56f7-2570-4358-8734-5c94e10e83d1\43c9d567-691b-4f12-b083-c6eeeff8e453.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-A6-2671,TCGA-A6-2671-01A,Primary Tumor,Tumor,161.2084,7.341704721565144,51.8571,20.8737,4.451125371979318,6.7146,FAM50B-high
34b0602a-c93d-4734-b860-a2cb66091e2e.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\9a6cef0c-1db2-4ec8-9918-b261ce6f5a86\34b0602a-c93d-4734-b860-a2cb66091e2e.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-A6-2672,TCGA-A6-2672-01A,Primary Tumor,Tumor,85.6274,6.436751512355212,27.6245,2.6348,1.861875983967079,0.85,FAM50B-low
bae6fdb5-9df3-433c-9a4c-e5c159a62bc6.rna_seq.augmented_star_gene_counts.tsv,data\raw\gdc\expression\bba0553b-afd2-470f-b0f3-a31ef377e62d\bae6fdb5-9df3-433c-9a4c-e5c159a62bc6.rna_seq.augmented_star_gene_counts.tsv,TCGA-COAD,TCGA-A6-2672,TCGA-A6-2672-01B,Primary Tumor,Tumor,17.8185,4.234079732050217,9.7713,0.8715,0.9041950482378748,0.4779,FAM50B-low
